cook_time,cuisine,ingredients,ingredients_full,name,prep_time,rating,rating_count,servings
30 mins to 1 hour,French,"buckwheat flour,egg,butter,ghee,olive oil,black pepper,butter,red onions,apples,sea salt,black pepper,lemon juice,rocket,feta","100g/3½oz buckwheat flour,1 free-range egg,50g/2oz butter, melted ,1 tbsp ghee,dash olive oil,salt and freshly ground black pepper,2 tbsp butter,2 large red onions, thinly sliced,2 green apples, peeled, cored, chopped into 3cm/1¼in chunks,pinch sea salt flakes,freshly ground black pepper, to taste,squeeze lemon juice,70g bag rocket, washed and dried,200g/7oz feta","Apple, rocket and feta buckwheat galettes",1-2 hours,5,1,Serves 4
30 mins to 1 hour,Caribbean,"oil,onion,pepper,pepper,chilli,salt cod,ackee,thyme,black pepper,butter,spinach,nutmeg,black pepper,seeds","2 tbsp oil, for frying,1 onion, finely chopped,1 red pepper, seeds removed, chopped,1 green pepper, seeds removed, chopped ,1 scotch bonnet chilli, seeds removed, chopped ,450g/1lb salt cod, soaked in water overnight (water changed several times),450g/1lb canned ackee, drained,1 tbsp fresh thyme leaves,pinch black pepper,100g/3½oz butter,400g/14oz callaloo (substitute with fresh spinach leaves if unavailable),1 tsp freshly grated nutmeg,salt and freshly ground black pepper,3 tomatoes, seeds removed, chopped,ready-made hot Jamaican sauce, to serve,3 tomatoes, roughly chopped",Ackee and saltfish,overnight,5,1,Serves 4
1 to 2 hours,Spanish,"oil,chicken,chorizo,onion,garlic,peppers,chillies,smoked paprika,chicken stock,rice,mussels,parsley","1–2 tbsp oil,12 whole chicken pieces (legs or thighs), on the bone,1 chorizo sausage, sliced into 3mm/⅛in thick slices,1 large onion, finely chopped,3 garlic cloves, crushed,2 red peppers, seeds removed, sliced,2–3 red chillies, seeds removed, chopped,2 tsp smoked paprika ,1.5 litres/2½ pints chicken stock,400g/14oz paella rice,12 mussels or clams, (optional) cleaned, open and damaged shells discarded,handful parsley, roughly chopped",Chicken and chorizo paella,less than 30 mins,4.555555555555555,18,Serves 6–8
1 to 2 hours,Spanish,"onion,carrot,celery,leek,garlic,bay leaves,parsley,olive oil,red onion,cumin,garlic,chilli,carrot,smoked paprika,tomatoes,pepper,lager,long-grain rice,peas,chicken breast,fresh coriander,limes,lime","1 roast chicken carcass, meat removed, or strippd chicken leg and thigh bones (see below),1 onion, peeled, cut into quarters,1 carrot, peeled, cut in half,1 celery stalk, trimmed,1 leek, trimmed,2 cloves garlic, peeled,2 fresh bay leaves,small bunch parsley stalks,1 litre/1¾ pints cold water,2 tbsp olive oil,1 red onion, peeled, roughly chopped,1 tsp cumin seeds,3 garlic cloves, peeled, sliced,1 red chilli, sliced,1 large carrot, scrubbed, cut in half, each half cut into 1cm/½in half moons,½ tsp smoked paprika,250g/9oz ripe tomatoes, preferably on the vine, chopped,1 red pepper, cut in half, seeds removed, chopped,1 x 330ml/11½fl oz bottle lager,400g/14oz long-grain rice,200g/7oz peas,600g/1lb 5oz cooked leftover chicken breast and leg or thigh meat, shredded, or 1 chicken carcass, cooked, meat shredded, carcass reserved (see above),40g/1½oz chopped fresh coriander leaves, plus extra to serve,1½-2 limes, plus 1 extra lime, cut into wedges, to serve",Chicken with rice (arroz con pollo),less than 30 mins,4.666666666666667,3,Serves 4
10 to 30 mins,Spanish,"prawns,olive oil,chicken stock,saffron,chicken thighs,chorizo,onions,garlic,tomatoes,paprika,paella,peppers,parsley,lemon","12 large tiger prawns, peeled and deveined, shells and heads reserved,olive oil,1 litre/1¾ pint good-quality chicken stock,pinch saffron,olive oil,8 chicken thighs, cut into small chunks,200g/7oz chorizo, peeled and finely chopped,2 onions, finely chopped,2 garlic cloves, crushed,4 ripe tomatoes, seeds removed, diced,1 tsp hot smoked paprika,500g/1lb 2oz paella rice ,2 roasted red peppers, peeled and torn into strips,small bunch flatleaf parsley, leave finely chopped,lemon wedges","Prawn, chicken and chorizo paella",30 mins to 1 hour,5,4,Serves 6
1 to 2 hours,Spanish,"cuttlefish,olive oil,onion,garlic,white wine,tomatoes,tomatoes,thyme,bay leaves,fennel seeds,basil","1 large cuttlefish (around 1kg/2lb 4oz), or 1kg/2lb 4oz squid,2 tbsp olive oil,1 large onion, finely chopped,3 garlic cloves, finely chopped,200ml/7fl oz white wine,400g/14oz tomatoes, skinned and chopped (ideally fresh, but alternatively tinned tomatoes),large thyme sprig,2 bay leaves,1 tsp fennel seeds,few basil leaves",Cuttlefish or squid stew,less than 30 mins,4,1,Serves 4
1 to 2 hours,British,"turkey,bacon,butter,leeks,white bread,dried fruit,thyme,lemon,sausagemeat,black pepper,sunflower oil,sausages,rosemary,honey,gravy,bacon,red wine,cranberry sauce,sage,bread sauce,milk,double cream,butter,nutmeg,carrot,orange juice,butter,parsley,parsley,caster sugar,butter,bacon,Brussels sprouts,chestnuts,black pepper","2.5kg/5lb 8oz turkey crown (fully thawed if frozen),6 rashers smoked streaky bacon,sunflower oil, for greasing,large knob of butter ,2 medium leeks, trimmed,5 thick slices white bread ,1 x 120g pack mixed nuts and dried fruit (I use one containing brazil nuts, pecans, almonds, sultanas and dried cranberries),1 small bunch fresh thyme, finely chopped ,1 large unwaxed lemon, finely grated zest only,450g/1lb pork sausagemeat,salt and freshly ground black pepper,1.2kg/2lb 12oz potatoes, preferably Maris Piper or King Edward, peeled and cut into large chunks,4 tbsp sunflower oil or melted goose fat,8–12 chipolata sausages, wrapped in bacon,a few sprigs fresh rosemary (optional),2 tbsp runny honey,750–900ml/1⅓–1⅔ pint readymade chicken gravy,2 rashers smoked streaky or back bacon, roughly chopped,4 tbsp ruby port or red wine,2 tbsp cranberry sauce,½ tsp dried sage (optional),2 x 40g packets bread sauce mix,500ml/18fl oz milk,4 tbsp double cream,25g/1oz butter,freshly grated nutmeg, to serve (optional),600g/1lb 5oz ready-prepared carrot sticks,2 tbsp orange juice (fresh or from a carton),knob of butter ,2 tbsp chopped frozen parsley or 3 tbsp freshly chopped parsley,2 good pinches caster sugar,25g/1oz butter,4 rashers rindless smoked streaky bacon, cut into 2cm/¾in pieces,300g/10½oz ready-trimmed baby Brussels sprouts, halved,200g/7oz cooked and peeled chestnuts, vacuum-packed or frozen and thawed, halved,sea salt and freshly ground black pepper",2-hour Christmas dinner,30 mins to 1 hour,4.75,4,Serves 6-8
10 to 30 mins,Mexican,"cumin,coriander,cayenne pepper,thyme,chillies,paprika,bay leaf,black pepper,avocado,lime,fresh coriander,chilli,salt,vegetable oil,onion,pepper,garlic,chicken,black pepper,soured cream,lime,wraps,cheddar,lime","½ tsp ground cumin,½ tsp ground coriander,pinch cayenne pepper,½ tsp dried thyme,pinch crushed chillies, plus extra to taste,½ tsp paprika,1 dried bay leaf, crushed,freshly ground black pepper,1 large ripe avocado, halved and stoned,½ lime, juice only,few sprigs fresh coriander, leaves and stalks chopped,1 small mild chilli, finely chopped (and deseeded, optional),salt,2–3 tbsp vegetable oil,1 brown onion, sliced,1 red pepper, deseeded and sliced,2 garlic cloves, crushed,300g/10½oz leftover roasted chicken (white and brown meat), shredded into bite-sized pieces,salt and freshly ground black pepper,2 corn on the cobs,100ml/3½fl oz soured cream,½ lime, zest only,4 large tortilla wraps ,100g/3½oz cheddar, grated,1 lime, cut into quarters ",Chicken fajita wraps,less than 30 mins,5,8,Serves 4
30 mins to 1 hour,Caribbean,"vegetable oil,onion,garlic,cumin,coriander,allspice,black pepper,turmeric,cinnamon,coconut milk,coconut cream,cherry tomatoes,vegetable stock,egg,milk,plain flour,cumin,paprika,coriander,allspice,chicken thighs,breadcrumbs,vegetable oil,black pepper,vegetable oil,onions,red onion,carrots,cumin,coriander,turmeric,spinach,rainbow chard,vinegar,caster sugar,black peppercorns,mango,chilli,fresh coriander,spring onions,parsley","1 tbsp vegetable oil ,1 onion, thinly sliced,3 garlic cloves, finely chopped ,1 Scotch Bonnet, left whole,2 tsp cumin,2 tsp ground coriander,2½ tsp ground allspice,2 tsp coarsely ground black pepper,2 tsp ground turmeric ,2 cinnamon sticks,400ml tin coconut milk ,100g/3½oz coconut cream, grated,6 cherry tomatoes,200ml/7fl oz vegetable stock,1 free-range egg ,50ml/2fl oz milk ,100g/3½oz plain flour,1 tsp ground cumin ,1 tsp paprika,1 tsp ground coriander ,1 tsp ground allspice  ,2 chicken thighs, skin on, boneless and cut into 3 pieces each ,100g/3½oz breadcrumbs ,vegetable oil, for frying ,salt and freshly ground black pepper ,3 tbsp vegetable oil,2 large onions, cut into quarters ,1 red onion, cut into quarters ,2 large carrots, peeled, diced and par-boiled ,2 tsp ground cumin ,2 tsp ground coriander ,2 tsp ground turmeric ,125g/4½oz spinach, wilted and chopped,125g/4½oz rainbow chard, wilted and chopped,100ml/3½fl oz white vinegar,100g/3½oz caster sugar,6 black peppercorns, crushed,1 mango, peeled and chopped,1 long red chilli, finely sliced,2 tbsp chopped fresh coriander,4 spring onions, chopped,2 tbsp chopped fresh flatleaf parsley","Fried chicken, ital vegetables and rundown sauce ",30 mins to 1 hour,4.857142857142857,7,Serves 4
10 to 30 mins,Caribbean,"garlic,ginger,chilli,chilli,thyme,coriander seeds,cloves,cloves,curry powder,black pepper,vegetable oil,chicken thighs,butter,lemon,rice,pepper","2 cloves garlic, roughly chopped,2cm/1 inch piece fresh root ginger, roughly chopped,1 yellow scotch bonnet chilli, chopped or 1 tsp dried chilli flakes,1 tbsp chopped fresh thyme leaves,1 tsp coriander seeds or ½ tsp ground coriander,2 cloves, or a pinch of ground cloves,½ tsp ground mixed spice ,1 tsp curry powder,salt and freshly ground black pepper,2 tbsp vegetable oil,2 boneless chicken thighs,25g/1oz butter,lemon wedge, to serve,200g/7oz long grain rice,1 red pepper, de-seeded and chopped",Jerk chicken thighs,less than 30 mins,4.909090909090909,11,Serves 1
30 mins to 1 hour,Caribbean,"jackfruit,red cabbage,carrot,onions,mayonnaise,ciabattas,lime,coriander,black pepper","400g tin jackfruit,5 tbsp ready-made jerk barbecue marinade,¼ red cabbage, shredded,1 carrot, peeled and ribboned with a peeler,2 spring onions, finely chopped,5 tbsp vegan mayonnaise,2 vegan burger buns or mini ciabattas, cut in half,squeeze fresh lime,1 tbsp chopped fresh coriander,salt and freshly ground black pepper",Vegan jerk jackfruit burger,less than 30 mins,4.875,8,Serves 2
30 mins to 1 hour,Irish,"bicarbonate of soda,cream of tartar,salt,sugar,buttermilk,butter,mashed potato,plain flour,salt,pork sausages,tomatoes,mushrooms,olive oil,black pepper,black pudding,bacon,eggs","450g/1lb plain white flour,1 tsp bicarbonate of soda,1 tsp cream of tartar,1 tsp sea salt,1 tsp sugar,300ml/10½fl oz buttermilk,2 tbsp butter, plus extra to serve,1 kg/2lb 3oz mashed potato,125g/4½oz plain flour, plus extra for dusting,salt, to taste,8 beef or pork sausages,4 ripe tomatoes, cut in half,250-300g/9-10½oz button mushrooms, cleaned,4 tbsp olive oil,salt and freshly ground black pepper,8 slices ready-made black pudding,8 rashers smoked bacon,8 free-range eggs",The Ulster fry,less than 30 mins,4.3,10,Serves 4
30 mins to 1 hour,Mexican,"onion,olive oil,garlic,smoked paprika,oregano,chilli powder,cumin,passata,brown sugar,vinegar,black pepper,onions,pepper,pepper,olive oil,garlic,chilli,chicken breasts,kidney beans,flour tortillas,cheddar,spring onions,coriander,avocado,soured cream","1 large onion, finely chopped,1 tbsp olive oil,1 garlic clove, crushed,1 tsp smoked paprika,1 tsp dried oregano,1 tsp chilli powder,½ tsp ground cumin,500g/1lb 2oz passata,1 tbsp brown sugar,1 tbsp cider vinegar,salt and freshly ground black pepper,2 onions, sliced,I red pepper, deseeded and sliced,1 yellow pepper, deseeded and sliced,3 tbsp olive oil,2 garlic cloves, finely chopped,1 red chilli, seeds removed, finely chopped,4 skinless, boneless chicken breasts, cut into thin strips,400g/14oz red kidney beans, drained and rinsed ,8 flour tortillas,100g/3½oz cheddar, grated ,4 spring onions, trimmed and sliced,2 tbsp finely chopped coriander,1 large avocado, peeled and sliced,150ml/5fl oz soured cream",Chicken enchiladas,less than 30 mins,4.6923076923076925,78,Serves 4
over 2 hours,Irish,"butter,olive oil,onions,garlic,lamb chops,black pepper,lamb stock,parsley","2 big knobs butter,glug olive oil,4 medium onions, cut into various sizes,3 cloves garlic, crushed,6 large potatoes, cut into various sizes ,8 lamb chops, excess fat trimmed off and reserved - thick neck chops will be best (go to a butcher if you can),salt and freshly ground black pepper,565ml/1 pint good-quality lamb stock,chopped parsley, optional",White Irish stew,less than 30 mins,3.6666666666666665,3,Serves 4
10 to 30 mins,Caribbean,"onion,pepper,pepper,pepper,tomato,mushrooms,black pepper,ackee,spring onion,steak,onion,pepper,thyme,garlic,soy sauce,tomato purée,black pepper","2 tbsp sunflower or groundnut oil,½ onion, finely sliced,½ red pepper, seeds removed, sliced into thin strips ,½ yellow pepper, seeds removed, sliced into thin strips ,½ green pepper, seeds removed, sliced into thin strips ,1 large ripe tomato, finely chopped,250g/9oz button mushrooms, chopped,125-150ml/4-5fl oz boiling water ,salt and freshly ground black pepper,347g/¾lb canned ackee, drained (available from some supermarkets and Afro-Caribbean grocers),1 spring onion, trimmed, finely chopped,1½ tsp sunflower or groundnut oil ,8 x 125g/4½oz pieces fillet steak,1 onion, finely sliced,125g/4½oz sweet pepper, seeds removed, sliced into thin strips ,3 sprigs fresh thyme, leaves only,1 garlic clove, finely chopped,2 tsp dark soy sauce,3 tsp tomato purée ,4 ripe tomatoes, roughly chopped,300ml/½ pint boiling water,salt and freshly ground black pepper","Steak, peppers and tomatoes with ackee and mushrooms",less than 30 mins,5,2,Serves 4
1 to 2 hours,Mexican,"chillies,tomatoes,garlic,vegetable oil,braising steak,onion,cumin,oregano,allspice,bay leaf,salt,chipotles,coriander,soured cream,Lancashire cheese,avocado,onion,radishes","50g/1¾oz dried guajillo chillies, seeds removed,4 large ripe tomatoes,4 garlic cloves, skin on,30g/1oz lard or 3 tbsp vegetable oil,1kg/2lb 4oz braising steak, cubed,1 large onion, roughly chopped,1 tsp ground cumin,1 tsp dried oregano,4 allspice berries, bruised,1 bay leaf,1 tsp salt,2 tbsp chipotles en adobo ,12–18 corn tortillas,handful coriander, roughly chopped,200ml/7fl oz soured cream,Lancashire cheese, crumbled,1 avocado, stone removed, peeled and diced,1 large onion, finely chopped,4 radishes, finely sliced",Carne con chile,less than 30 mins,4.923076923076923,13,Serves 4–6
over 2 hours,Mexican,"vegetable oil,braising steak,beef mince,onion,red onion,celery,chipotle,dried chilli,chilli powder,oregano,brown sugar,chopped tomatoes,beef stock,kidney beans,chocolate,fresh coriander,black pepper,rice,soured cream,spring onions","4 tbsp vegetable oil,500g/1lb 2oz good-quality braising steak, diced,500g/1lb 2oz good-quality beef mince,1 onion, finely chopped,1 red onion, finely chopped,2 celery sticks, trimmed and chopped,1 dried chipotle chilli,1 tbsp dried chilli flakes,½ tbsp chilli powder,2 tsp dried oregano,3 tbsp light brown sugar,2 x 400g tins chopped tomatoes,500ml/17fl oz beef stock,400g tin kidney beans, drained and rinsed,400g tin black-eyed beans, drained and rinsed,85g/3oz plain chocolate, minimum 70% cocoa solids, roughly chopped,bunch fresh coriander,sea salt flakes and freshly ground black pepper,freshly steamed rice,8 tbsp soured cream,4 spring onions, trimmed and finely sliced",The Hairy Bikers' beef chilli,less than 30 mins,4.333333333333333,21,Serves 8–10
10 to 30 mins,Mexican,"coriander,chives,garlic,olive oil,salt,lime,chilli,chillies,chillies,tomato,olive oil,onion,cloves,oregano,cumin,salt,lard,onion,garlic,chilli,pinto beans,oregano,salt,soured cream,mayonnaise,salsa,lime","2 whole bass, each about 350g/12oz, gutted and butterflied ,large handful coriander,large handful chives,2 garlic cloves, roughly chopped,100ml/3½fl oz olive oil,¼ tsp salt,½ lime, juice only,1 green serrano chilli, roughly chopped,3 dried guajillo chillies, stems and seeds removed,2 ancho chillies, stems and seeds removed,1 medium tomato,1 tbsp olive oil,½ small onion, roughly chopped,2 garlic cloves, roughly chopped,½ tsp dried oregano,½ tsp ground cumin,½ tsp salt,35g/1¼oz lard,1 medium onion, finely chopped,2 garlic cloves, finely chopped,1 green jalapeño or serrano chilli, finely chopped,600g/1lb 5oz cooked black or pinto beans,½ tsp dried epazote (optional) or oregano,½ tsp salt,1 tbsp soured cream,1 tbsp mayonnaise,1 tbsp salsa verde (reserved from above),½ lime, juice only",Mexican fish with refried beans,less than 30 mins,5,3,Serves 2
1 to 2 hours,Spanish,"white bread,milk,Serrano ham,lamb mince,garlic,cumin,coriander seeds,paprika,parsley,salt,black pepper,olive oil,olive oil,shallots,garlic,dried chillies,tomatoes,sherry,chicken stock,salt,black pepper,vegetable oil,potatoes,salt,olive oil","40g/1½oz thinly sliced crustless white bread,3 tbsp milk,125g/4½oz thinly sliced Serrano ham, finely chopped,600g/1lb 5oz lamb mince,2 garlic cloves, crushed,1½ tsp cumin seeds, freshly ground,1½ tsp coriander seeds, freshly ground, ¾ tsp hot paprika,2 tbsp chopped fresh flatleaf parsley,¾ tsp salt,¾ tsp freshly ground black pepper,2 tbsp olive oil, for frying,3 tbsp olive oil,150g/5oz shallots, finely chopped,3 garlic cloves, crushed,½ tsp crushed dried chillies,800g/1lb 12oz vine-ripened tomatoes, peeled, chopped,200ml/7fl oz good quality fino sherry,200ml/7fl oz homemade chicken stock,2 bay leaves,½ tsp salt,freshly ground black pepper,vegetable oil, for frying,3 large potatoes, peeled, very finely julienned,salt,handful chopped flat-leaf parsely,extra virgin olive oil",Spicy lamb albondigas (meatballs),less than 30 mins,4.875,8,Serves 4
1 to 2 hours,Caribbean,"salt cod,ackee,olive oil,onion,paprika,curry powder,jerk seasoning,pepper,pepper,tomatoes,black pepper,self-raising flour,suet,salt,vegetable oil","450g/1lb salt cod,1 x 400g/14oz can ackee,olive oil,1 onion, chopped,1 tsp paprika,2 tsp mild curry powder,2 tsp jerk seasoning,1 tsp hot pepper sauce,1 red pepper, seeds removed and sliced,1 yellow pepper, seeds removed and sliced,200g/7oz tomatoes, chopped,salt and freshly ground black pepper,250g/9oz self-raising flour,30g/1oz vegetable suet,pinch of salt,vegetable oil, for frying",Saltfish and ackee with fried dumplings,overnight,5,2,Serves 4
30 mins to 1 hour,Caribbean,"jackfruit,sea salt,black pepper,paprika,thyme,allspice,olive oil,onion,garlic,chopped tomatoes,coconut milk,chilli,pepper,pepper,vegetable stock","520g/1lb 3oz green jackfruit, rinsed and drained,1 tsp sea salt flakes,1 tsp freshly ground black pepper ,1 tsp paprika,1 tsp dried thyme ,1 tsp allspice ,1 tbsp olive oil,1 brown onion, chopped,2 garlic cloves, minced,400g tin chopped tomatoes,200ml/7fl oz coconut milk,½ Scotch bonnet or other chilli ,1 red pepper, seeds removed, sliced ,1 green pepper, seeds removed, sliced ,150ml/5fl oz vegetable stock or water",Pulled jackfruit coconut stew ,less than 30 mins,5,3,Serves 4
